SN,DATE,TIME,MODEL,VIN,BATCH,CO,HC,Nox,HC+Nox,CO2,PM,CB,FE,CO%,NOX%,HC+Nox%,PM%,Nox SET Point_EGR ON,Nox SET Point_EGR OFF,REMARK 1,REMARK 2,WARMUP,PRECON,SOAK,RMEARK 3,GEAR RATIO,CAT,EGR STATUS,Background HC,DATASET,Nox correction factor,Actual Nox,CD,PM filter Mass,KS,VETS,L0,F0,L2,F2,Humidity,DRIVER,RESULT
2477,3/1/2022,16:33:23,CARGO,MD2A98AX9MWL21939(A-723),PWM+HFM,0.0165,0.0072,0.13,0.1372,96.9,0.0132,27.38,24.28,8,81,69,63,120,,"Glow plug 80s ON_With coolant

",NOx pct delta egr set_-0.78,NO WARMUP,5KM WOT + IDC,8 HRS,Base,BASE,2D_6P_C,ON,20.4,v06.8.12.17,0.99,0.13,110.81+ 0.0674v2 + 690dv/dt,1.903,649,3,82.81,27.35,-0.0027,0.07052,10.4,NIRMAL,PASS
2478,4/1/2022,7:57:12,XWIDE,MD2B45AX5MWH29763,ICOP,0.0143,0.0092,0.1179,0.1271,92.82,0.0159,28.58,25.33,7,74,64,76,120,,"5""+5""ùPPF_20gm CFT Loaded CAT
",NOx_pct_delta_egr_set_2.65,NO WARMUP,5KM WOT + IDC,OVER NIGHT,Base,BASE,"5""ù+5""PPF_20gm CFT CAT",ON,11.6,v06.7.09.17,0.974,0.118,100 + 0.06930v2 + 690dv/dt,2.304,512,1,85.69,14.86,0.00015,0.07166,9.9,NIRMAL,PASS
2479,4/1/2022,8:42:11,XWIDE,MD2B45AX1MWH29730,ICOP,0.0141,0.0075,0.1198,0.1273,96.07,0.0137,27.62,25.12,7,75,64,66,,,"Original CAT



















",NOx_pct_delta_egr_set_0,NO WARMUP,5KM WOT + IDC,OVER NIGHT,Base,BASE,2D_6P_C,ON,11.1,v06.7.09.17,0.983,0.12,100 + 0.0693v2 + 690dv/dt,1.948,513,2,84.24,15.91,-0.00228,0.07309,10.2,NIRMAL,PASS
2480,4/1/2022,10:17:27,XWIDE,MD2B45AXXMWH29757,ICOP,0.0156,0.0084,0.1203,0.1287,97.2,0.0189,27.3,25.12,8,75,64,91,,,"Original CAT
",NOx_pct_delta_egr_set_0,NO WARMUP,5KM WOT + IDC,OVER NIGHT,Base,BASE,2D_6P_C,ON,9.6,v06.7.09.17,0.978,0.12,100 + 0.06930v2 + 690dv/dt,2.701,514,3,79.9,20.35,0.00248,0.06997,10,NIRMAL,PASS
2481,4/1/2022,15:38:43,XWIDE,MD2B45AX6LWL00653,Production,0.0098,0.0076,0.1091,0.1167,90.85,0.0137,29.21,25.92,5,68,58,66,113,,"Exiting CAT (2+6"")_For SOF Measurement
",PM filter 47mm,NO WARMUP,5KM WOT + IDC,OVER NIGHT,Base,BASE,2D_6P_C,ON,7.4,v04.7.01.57,0.981,0.109,100 + 0.06930v2 + 690dv/dt,1.697,515,4,88.45,11.24,-0.00539,0.07287,10.1,NIRMAL,PASS
2482,5/1/2022,8:00:52,XWIDE,MD2B45AX6LWL00653,Production,0.007,0.0053,0.1173,0.1226,95.83,0.0127,27.69,24.91,3,73,61,61,111,,"Exiting CAT (2+6"")_For SOF Measurement_Repeat

",PM filter 47mm,NO WARMUP,5KM WOT + IDC,OVER NIGHT,Base,BASE,2D_6P_C,ON,6.6,v04.7.01.57,0.979,0.117,100 + 0.06930v2 + 690dv/dt,1.476,517,1,88.45,11.24,-0.00539,0.07287,10.1,PATIL,PASS
2483,5/1/2022,8:51:04,MAX-Z,MD2B38AX3MWJ05428,ICOP,0.0078,0.0067,0.1337,0.1404,87.49,0.0182,30.33,27.09,4,84,70,88,122,246,"AS IS_ICOP Batch Jan'22











",BASE,NO WARMUP,5KM WOT + IDC,OVER NIGHT,BASE,5% DEEP,2D_4P_NC,ON,8.1,v04.9.02.51,0.986,0.134,98.55 + 0.057v2 + 610dv/dt,2.624,198,2,69.64,28.92,-0.00248,0.0619,10.3,NIRMAL,PASS
2484,5/1/2022,10:02:15,MAX-Z,MD2B38AX4MWJ05440,ICOP,0.0509,0.0464,0.1194,0.1658,91.2,0.0257,29.03,26.14,25,75,83,124,118,,"AS IS_ICOP Batch Jan'22












",BASE_Glow plug not working ,NO WARMUP,5KM WOT + IDC,OVER NIGHT,BASE,5% DEEP,2D_4P_NC,ON,9,v04.9.02.51,0.99,0.119,98.55 + 0.057v2 + 610dv/dt,3.735,200,3,60.39,37.43,-0.00389,0.06211,10.4,NIRMAL,FAIL
2485,5/1/2022,13:24:35,MAX-Z,MD2B38AX9MWJ05434,ICOP,0.0251,0.0196,0.0981,0.1177,80.13,0.0129,33.09,29.99,13,61,59,62,117,,"AS IS_ICOP Batch Jan'22













",BASE_,NO WARMUP,5KM WOT + IDC,OVER NIGHT,BASE,5% DEEP,2D_4P_NC,ON,12.5,v04.9.02.51,0.986,0.098,98.55 + 0.057v2 + 610dv/dt,1.861,202,4,63.2,33.81,-0.00873,0.06557,10.3,NIRMAL,PASS
2486,5/1/2022,15:13:57,MAX-Z,MD2B38AX6MWJ05438,ICOP,0.0154,0.015,0.1117,0.1267,80.21,0.0134,33.06,29.52,8,70,63,64,125,,"AS IS_ICOP Batch Jan'22













",BASE,NO WARMUP,5KM WOT + IDC,OVER NIGHT,BASE,BASE,2D_4P_NC,ON,10.7,v04.9.02.51,0.983,0.112,98.55 + 0.057v2 + 610dv/dt,1.952,204,5,59.93,36.88,-0.00558,0.06258,10.2,PATIL,PASS
2487,6/1/2022,8:16:34,XWIDE,MD2B45AX3MWL20674 (A718),PWM+HFM,0.0147,0.0063,0.1338,0.1401,96.04,0.007,27.63,24.95,7,84,70,34,,,"5speed Gearbox_Helical Gear_6.28% deep gear ratio
",NOx_pct_delta_egr_set_0,NO WARMUP,5KM WOT + IDC,OVER NIGHT,Base,6.28% DEEP,2D_6P_C,ON,7.4,v06.7.9.17,0.977,0.134,100 + 0.06930v2 + 690dv/dt,1.019,521,1,86.94,11.48,-0.00251,0.07126,10,NIRMAL,PASS
2488,6/1/2022,8:29:48,MAX-Z,MD2B38AX4MWJ05440,ICOP,0.0493,0.04,0.1116,0.1516,87.25,0.0175,30.35,25.59,25,70,76,84,119,,"After 150km running in













",BASE_Glow plug not working ,NO WARMUP,5KM WOT + IDC,OVER NIGHT,BASE,BASE,2D_4P_NC,ON,9.4,v04.9.02.51,0.981,0.112,98.55 + 0.057v2 + 610dv/dt,2.541,206,2,60.39,37.43,-0.00389,0.06211,10.1,NIRMAL,PASS
2489,6/1/2022,10:21:32,MAX-Z,MD2B38AX3MWJ05428,ICOP,0.0078,0.0092,0.1258,0.135,82.43,0.0114,32.19,27.01,4,79,68,55,122,,"After 150km running in












",,150KM RUN IN,5KM WOT + IDC,OVER NIGHT,BASE,BASE,2D_4P_NC,ON,9.4,v04.9.02.51,0.971,0.126,98.55 + 0.057v2 + 610dv/dt,1.653,208,3,69.64,28.92,-0.00248,0.0619,9.8,NIRMAL,PASS
